,Unnamed: 0,index, FIPS,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent 5-Year Trend (ˆ) in Incidence Rates,Lower 95% Confidence Interval.1,Upper 95% Confidence Interval.1,index.1, FIPS.1,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000.1",Lower 95% Confidence Interval.2,Upper 95% Confidence Interval.2,Average Annual Count.1,Recent 5-Year Trend (ˆ) in Incidence Rates.1,Lower 95% Confidence Interval.1.1,Upper 95% Confidence Interval.1.1,index.2, FIPS.2,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000.2",Lower 95% Confidence Interval.3,Upper 95% Confidence Interval.3,Average Annual Count.2,Recent 5-Year Trend (ˆ) in Incidence Rates.2,Lower 95% Confidence Interval.1.2,Upper 95% Confidence Interval.1.2,index.3, FIPS.3,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000.3",Lower 95% Confidence Interval.4,Upper 95% Confidence Interval.4,Average Annual Count.3,Recent 5-Year Trend (ˆ) in Incidence Rates.3,Lower 95% Confidence Interval.1.3,Upper 95% Confidence Interval.1.3,index.4, FIPS.4,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000.4",Lower 95% Confidence Interval.5,Upper 95% Confidence Interval.5,Average Annual Count.4,Recent 5-Year Trend (ˆ) in Incidence Rates.4,Lower 95% Confidence Interval.1.4,Upper 95% Confidence Interval.1.4,index.5, FIPS.5,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000.5",Lower 95% Confidence Interval.6,Upper 95% Confidence Interval.6,Average Annual Count.5,Recent 5-Year Trend (ˆ) in Incidence Rates.5,Lower 95% Confidence Interval.1.5,Upper 95% Confidence Interval.1.5,index.6, FIPS.6,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000.6",Lower 95% Confidence Interval.7,Upper 95% Confidence Interval.7,Average Annual Count.6,Recent 5-Year Trend (ˆ) in Incidence Rates.6,Lower 95% Confidence Interval.1.6,Upper 95% Confidence Interval.1.6,Recent Trend1,County
819,819,819,19063,69.8,51.4,93.3,10,0.8,-1.3,3,819,19063,69.8,51.4,93.3,10,0.8,-1.3,3,819,19063,69.8,51.4,93.3,10,0.8,-1.3,3,819,19063,69.8,51.4,93.3,10,0.8,-1.3,3,819,19063,69.8,51.4,93.3,10,0.8,-1.3,3,819,19063,69.8,51.4,93.3,10,0.8,-1.3,3,819,19063,69.8,51.4,93.3,10,0.8,-1.3,3,2,874
1091,1091,1091,21199,93.6,84.5,103.5,80,-6.8,-16.2,3.5,1091,21199,93.6,84.5,103.5,80,-6.8,-16.2,3.5,1091,21199,93.6,84.5,103.5,80,-6.8,-16.2,3.5,1091,21199,93.6,84.5,103.5,80,-6.8,-16.2,3.5,1091,21199,93.6,84.5,103.5,80,-6.8,-16.2,3.5,1091,21199,93.6,84.5,103.5,80,-6.8,-16.2,3.5,1091,21199,93.6,84.5,103.5,80,-6.8,-16.2,3.5,2,2347
611,611,611,17035,89.1,68.6,114.2,13,12.6,-11,42.6,611,17035,89.1,68.6,114.2,13,12.6,-11,42.6,611,17035,89.1,68.6,114.2,13,12.6,-11,42.6,611,17035,89.1,68.6,114.2,13,12.6,-11,42.6,611,17035,89.1,68.6,114.2,13,12.6,-11,42.6,611,17035,89.1,68.6,114.2,13,12.6,-11,42.6,611,17035,89.1,68.6,114.2,13,12.6,-11,42.6,2,682
2855,2855,2855,51077,63.6,50.3,80.2,16,-14.4,-26.6,-0.2,2855,51077,63.6,50.3,80.2,16,-14.4,-26.6,-0.2,2855,51077,63.6,50.3,80.2,16,-14.4,-26.6,-0.2,2855,51077,63.6,50.3,80.2,16,-14.4,-26.6,-0.2,2855,51077,63.6,50.3,80.2,16,-14.4,-26.6,-0.2,2855,51077,63.6,50.3,80.2,16,-14.4,-26.6,-0.2,2855,51077,63.6,50.3,80.2,16,-14.4,-26.6,-0.2,1,1101
2069,2069,2069,39055,51.4,45.8,57.6,63,-8.4,-19.3,3.8,2069,39055,51.4,45.8,57.6,63,-8.4,-19.3,3.8,2069,39055,51.4,45.8,57.6,63,-8.4,-19.3,3.8,2069,39055,51.4,45.8,57.6,63,-8.4,-19.3,3.8,2069,39055,51.4,45.8,57.6,63,-8.4,-19.3,3.8,2069,39055,51.4,45.8,57.6,63,-8.4,-19.3,3.8,2069,39055,51.4,45.8,57.6,63,-8.4,-19.3,3.8,2,1025
2545,2545,2545,48047,* ,*, *,3 or fewer,*,*,*,2545,48047,* ,*, *,3 or fewer,*,*,*,2545,48047,* ,*, *,3 or fewer,*,*,*,2545,48047,* ,*, *,3 or fewer,*,*,*,2545,48047,* ,*, *,3 or fewer,*,*,*,2545,48047,* ,*, *,3 or fewer,*,*,*,2545,48047,* ,*, *,3 or fewer,*,*,*,3,280
332,332,332,12029,100,83.2,119.8,26,5,-16.8,32.4,332,12029,100,83.2,119.8,26,5,-16.8,32.4,332,12029,100,83.2,119.8,26,5,-16.8,32.4,332,12029,100,83.2,119.8,26,5,-16.8,32.4,332,12029,100,83.2,119.8,26,5,-16.8,32.4,332,12029,100,83.2,119.8,26,5,-16.8,32.4,332,12029,100,83.2,119.8,26,5,-16.8,32.4,2,790
2718,2718,2718,48393,* ,*, *,3 or fewer,*,*,*,2718,48393,* ,*, *,3 or fewer,*,*,*,2718,48393,* ,*, *,3 or fewer,*,*,*,2718,48393,* ,*, *,3 or fewer,*,*,*,2718,48393,* ,*, *,3 or fewer,*,*,*,2718,48393,* ,*, *,3 or fewer,*,*,*,2718,48393,* ,*, *,3 or fewer,*,*,*,3,2435
1444,1444,1444,28089,70.9,63.1,79.4,64,-5.3,-13.3,3.4,1444,28089,70.9,63.1,79.4,64,-5.3,-13.3,3.4,1444,28089,70.9,63.1,79.4,64,-5.3,-13.3,3.4,1444,28089,70.9,63.1,79.4,64,-5.3,-13.3,3.4,1444,28089,70.9,63.1,79.4,64,-5.3,-13.3,3.4,1444,28089,70.9,63.1,79.4,64,-5.3,-13.3,3.4,1444,28089,70.9,63.1,79.4,64,-5.3,-13.3,3.4,2,1758
1632,1632,1632,30071,53.2,31.5,88.1,4,3,-13.2,22.3,1632,30071,53.2,31.5,88.1,4,3,-13.2,22.3,1632,30071,53.2,31.5,88.1,4,3,-13.2,22.3,1632,30071,53.2,31.5,88.1,4,3,-13.2,22.3,1632,30071,53.2,31.5,88.1,4,3,-13.2,22.3,1632,30071,53.2,31.5,88.1,4,3,-13.2,22.3,1632,30071,53.2,31.5,88.1,4,3,-13.2,22.3,2,2244
