,Unnamed: 0,index, FIPS,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent 5-Year Trend (ˆ) in Incidence Rates,Lower 95% Confidence Interval.1,Upper 95% Confidence Interval.1,index.1, FIPS.1,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000.1",Lower 95% Confidence Interval.2,Upper 95% Confidence Interval.2,Average Annual Count.1,Recent 5-Year Trend (ˆ) in Incidence Rates.1,Lower 95% Confidence Interval.1.1,Upper 95% Confidence Interval.1.1,index.2, FIPS.2,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000.2",Lower 95% Confidence Interval.3,Upper 95% Confidence Interval.3,Average Annual Count.2,Recent 5-Year Trend (ˆ) in Incidence Rates.2,Lower 95% Confidence Interval.1.2,Upper 95% Confidence Interval.1.2,index.3, FIPS.3,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000.3",Lower 95% Confidence Interval.4,Upper 95% Confidence Interval.4,Average Annual Count.3,Recent 5-Year Trend (ˆ) in Incidence Rates.3,Lower 95% Confidence Interval.1.3,Upper 95% Confidence Interval.1.3,index.4, FIPS.4,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000.4",Lower 95% Confidence Interval.5,Upper 95% Confidence Interval.5,Average Annual Count.4,Recent 5-Year Trend (ˆ) in Incidence Rates.4,Lower 95% Confidence Interval.1.4,Upper 95% Confidence Interval.1.4,index.5, FIPS.5,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000.5",Lower 95% Confidence Interval.6,Upper 95% Confidence Interval.6,Average Annual Count.5,Recent 5-Year Trend (ˆ) in Incidence Rates.5,Lower 95% Confidence Interval.1.5,Upper 95% Confidence Interval.1.5,index.6, FIPS.6,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000.6",Lower 95% Confidence Interval.7,Upper 95% Confidence Interval.7,Average Annual Count.6,Recent 5-Year Trend (ˆ) in Incidence Rates.6,Lower 95% Confidence Interval.1.6,Upper 95% Confidence Interval.1.6,Recent Trend1,County
219,219,219,6069,40.2,32.2,49.5,18,-13.3,-26.7,2.5,219,6069,40.2,32.2,49.5,18,-13.3,-26.7,2.5,219,6069,40.2,32.2,49.5,18,-13.3,-26.7,2.5,219,6069,40.2,32.2,49.5,18,-13.3,-26.7,2.5,219,6069,40.2,32.2,49.5,18,-13.3,-26.7,2.5,219,6069,40.2,32.2,49.5,18,-13.3,-26.7,2.5,219,6069,40.2,32.2,49.5,18,-13.3,-26.7,2.5,2,2495
367,367,367,12097,54.7,50.7,58.9,147,1.9,-7,11.6,367,12097,54.7,50.7,58.9,147,1.9,-7,11.6,367,12097,54.7,50.7,58.9,147,1.9,-7,11.6,367,12097,54.7,50.7,58.9,147,1.9,-7,11.6,367,12097,54.7,50.7,58.9,147,1.9,-7,11.6,367,12097,54.7,50.7,58.9,147,1.9,-7,11.6,367,12097,54.7,50.7,58.9,147,1.9,-7,11.6,2,2153
3099,3099,3099,55105,74.9,69.4,80.7,139,-3.2,-9.9,3.9,3099,55105,74.9,69.4,80.7,139,-3.2,-9.9,3.9,3099,55105,74.9,69.4,80.7,139,-3.2,-9.9,3.9,3099,55105,74.9,69.4,80.7,139,-3.2,-9.9,3.9,3099,55105,74.9,69.4,80.7,139,-3.2,-9.9,3.9,3099,55105,74.9,69.4,80.7,139,-3.2,-9.9,3.9,3099,55105,74.9,69.4,80.7,139,-3.2,-9.9,3.9,2,2442
1714,1714,1714,31123,71.6,45.8,108.4,5,20.9,-15,72,1714,31123,71.6,45.8,108.4,5,20.9,-15,72,1714,31123,71.6,45.8,108.4,5,20.9,-15,72,1714,31123,71.6,45.8,108.4,5,20.9,-15,72,1714,31123,71.6,45.8,108.4,5,20.9,-15,72,1714,31123,71.6,45.8,108.4,5,20.9,-15,72,1714,31123,71.6,45.8,108.4,5,20.9,-15,72,2,2010
2390,2390,2390,46061,* ,*, *,3 or fewer,*,*,*,2390,46061,* ,*, *,3 or fewer,*,*,*,2390,46061,* ,*, *,3 or fewer,*,*,*,2390,46061,* ,*, *,3 or fewer,*,*,*,2390,46061,* ,*, *,3 or fewer,*,*,*,2390,46061,* ,*, *,3 or fewer,*,*,*,2390,46061,* ,*, *,3 or fewer,*,*,*,3,1186
2244,2244,2244,42003,72.5,70.7,74.4,1193,-3.2,-7.2,1.1,2244,42003,72.5,70.7,74.4,1193,-3.2,-7.2,1.1,2244,42003,72.5,70.7,74.4,1193,-3.2,-7.2,1.1,2244,42003,72.5,70.7,74.4,1193,-3.2,-7.2,1.1,2244,42003,72.5,70.7,74.4,1193,-3.2,-7.2,1.1,2244,42003,72.5,70.7,74.4,1193,-3.2,-7.2,1.1,2244,42003,72.5,70.7,74.4,1193,-3.2,-7.2,1.1,2,45
1454,1454,1454,28109,89,79,100,60,-5.1,-12,2.2,1454,28109,89,79,100,60,-5.1,-12,2.2,1454,28109,89,79,100,60,-5.1,-12,2.2,1454,28109,89,79,100,60,-5.1,-12,2.2,1454,28109,89,79,100,60,-5.1,-12,2.2,1454,28109,89,79,100,60,-5.1,-12,2.2,1454,28109,89,79,100,60,-5.1,-12,2.2,2,2207
351,351,351,12067,97.3,70.7,130.8,9,-6.3,-29.4,24.2,351,12067,97.3,70.7,130.8,9,-6.3,-29.4,24.2,351,12067,97.3,70.7,130.8,9,-6.3,-29.4,24.2,351,12067,97.3,70.7,130.8,9,-6.3,-29.4,24.2,351,12067,97.3,70.7,130.8,9,-6.3,-29.4,24.2,351,12067,97.3,70.7,130.8,9,-6.3,-29.4,24.2,351,12067,97.3,70.7,130.8,9,-6.3,-29.4,24.2,2,1551
3137,3137,3137,56039,23.7,14.7,36.1,5,-19.6,-35.5,0.1,3137,56039,23.7,14.7,36.1,5,-19.6,-35.5,0.1,3137,56039,23.7,14.7,36.1,5,-19.6,-35.5,0.1,3137,56039,23.7,14.7,36.1,5,-19.6,-35.5,0.1,3137,56039,23.7,14.7,36.1,5,-19.6,-35.5,0.1,3137,56039,23.7,14.7,36.1,5,-19.6,-35.5,0.1,3137,56039,23.7,14.7,36.1,5,-19.6,-35.5,0.1,2,2778
1261,1261,1261,26063,56.8 #  ,48,67,31,1.9,-18.7,27.7,1261,26063,56.8 #  ,48,67,31,1.9,-18.7,27.7,1261,26063,56.8 #  ,48,67,31,1.9,-18.7,27.7,1261,26063,56.8 #  ,48,67,31,1.9,-18.7,27.7,1261,26063,56.8 #  ,48,67,31,1.9,-18.7,27.7,1261,26063,56.8 #  ,48,67,31,1.9,-18.7,27.7,1261,26063,56.8 #  ,48,67,31,1.9,-18.7,27.7,2,1323
3023,3023,3023,54065,68.9,55.3,85.4,18,-8.6,-32.9,24.5,3023,54065,68.9,55.3,85.4,18,-8.6,-32.9,24.5,3023,54065,68.9,55.3,85.4,18,-8.6,-32.9,24.5,3023,54065,68.9,55.3,85.4,18,-8.6,-32.9,24.5,3023,54065,68.9,55.3,85.4,18,-8.6,-32.9,24.5,3023,54065,68.9,55.3,85.4,18,-8.6,-32.9,24.5,3023,54065,68.9,55.3,85.4,18,-8.6,-32.9,24.5,2,2009
490,490,490,13213,103.1,89.1,118.7,42,-10.1,-25.6,8.6,490,13213,103.1,89.1,118.7,42,-10.1,-25.6,8.6,490,13213,103.1,89.1,118.7,42,-10.1,-25.6,8.6,490,13213,103.1,89.1,118.7,42,-10.1,-25.6,8.6,490,13213,103.1,89.1,118.7,42,-10.1,-25.6,8.6,490,13213,103.1,89.1,118.7,42,-10.1,-25.6,8.6,490,13213,103.1,89.1,118.7,42,-10.1,-25.6,8.6,2,2025
2818,2818,2818,50027,67.4,59.6,76,57,-5.3,-14.9,5.4,2818,50027,67.4,59.6,76,57,-5.3,-14.9,5.4,2818,50027,67.4,59.6,76,57,-5.3,-14.9,5.4,2818,50027,67.4,59.6,76,57,-5.3,-14.9,5.4,2818,50027,67.4,59.6,76,57,-5.3,-14.9,5.4,2818,50027,67.4,59.6,76,57,-5.3,-14.9,5.4,2818,50027,67.4,59.6,76,57,-5.3,-14.9,5.4,2,3073
2817,2817,2817,50025,58.9,50.4,68.6,36,-6.5,-14.2,2,2817,50025,58.9,50.4,68.6,36,-6.5,-14.2,2,2817,50025,58.9,50.4,68.6,36,-6.5,-14.2,2,2817,50025,58.9,50.4,68.6,36,-6.5,-14.2,2,2817,50025,58.9,50.4,68.6,36,-6.5,-14.2,2,2817,50025,58.9,50.4,68.6,36,-6.5,-14.2,2,2817,50025,58.9,50.4,68.6,36,-6.5,-14.2,2,2,3072
498,498,498,13229,80.1,64,99.3,18,-11.9,-36.8,22.8,498,13229,80.1,64,99.3,18,-11.9,-36.8,22.8,498,13229,80.1,64,99.3,18,-11.9,-36.8,22.8,498,13229,80.1,64,99.3,18,-11.9,-36.8,22.8,498,13229,80.1,64,99.3,18,-11.9,-36.8,22.8,498,13229,80.1,64,99.3,18,-11.9,-36.8,22.8,498,13229,80.1,64,99.3,18,-11.9,-36.8,22.8,2,2251
1811,1811,1811,35031,13.5,9.7,18.3,9,-3,-5.3,-0.7,1811,35031,13.5,9.7,18.3,9,-3,-5.3,-0.7,1811,35031,13.5,9.7,18.3,9,-3,-5.3,-0.7,1811,35031,13.5,9.7,18.3,9,-3,-5.3,-0.7,1811,35031,13.5,9.7,18.3,9,-3,-5.3,-0.7,1811,35031,13.5,9.7,18.3,9,-3,-5.3,-0.7,1811,35031,13.5,9.7,18.3,9,-3,-5.3,-0.7,1,1860
210,210,210,6051,24.6,13.6,40.8,3,*,*,*,210,6051,24.6,13.6,40.8,3,*,*,*,210,6051,24.6,13.6,40.8,3,*,*,*,210,6051,24.6,13.6,40.8,3,*,*,*,210,6051,24.6,13.6,40.8,3,*,*,*,210,6051,24.6,13.6,40.8,3,*,*,*,210,6051,24.6,13.6,40.8,3,*,*,*,3,1948
2691,2691,2691,48339,61.3,57.9,64.8,271,-6.8,-11.4,-1.9,2691,48339,61.3,57.9,64.8,271,-6.8,-11.4,-1.9,2691,48339,61.3,57.9,64.8,271,-6.8,-11.4,-1.9,2691,48339,61.3,57.9,64.8,271,-6.8,-11.4,-1.9,2691,48339,61.3,57.9,64.8,271,-6.8,-11.4,-1.9,2691,48339,61.3,57.9,64.8,271,-6.8,-11.4,-1.9,2691,48339,61.3,57.9,64.8,271,-6.8,-11.4,-1.9,1,1988
746,746,746,18101,71.5,52.5,95.7,10,19,-6.7,51.7,746,18101,71.5,52.5,95.7,10,19,-6.7,51.7,746,18101,71.5,52.5,95.7,10,19,-6.7,51.7,746,18101,71.5,52.5,95.7,10,19,-6.7,51.7,746,18101,71.5,52.5,95.7,10,19,-6.7,51.7,746,18101,71.5,52.5,95.7,10,19,-6.7,51.7,746,18101,71.5,52.5,95.7,10,19,-6.7,51.7,2,1820
650,650,650,17113,64.1,58.4,70.2,97,-4.7,-9.4,0.2,650,17113,64.1,58.4,70.2,97,-4.7,-9.4,0.2,650,17113,64.1,58.4,70.2,97,-4.7,-9.4,0.2,650,17113,64.1,58.4,70.2,97,-4.7,-9.4,0.2,650,17113,64.1,58.4,70.2,97,-4.7,-9.4,0.2,650,17113,64.1,58.4,70.2,97,-4.7,-9.4,0.2,650,17113,64.1,58.4,70.2,97,-4.7,-9.4,0.2,2,1861
227,227,227,6085,41.1,39.7,42.5,705,-1,-4.8,2.9,227,6085,41.1,39.7,42.5,705,-1,-4.8,2.9,227,6085,41.1,39.7,42.5,705,-1,-4.8,2.9,227,6085,41.1,39.7,42.5,705,-1,-4.8,2.9,227,6085,41.1,39.7,42.5,705,-1,-4.8,2.9,227,6085,41.1,39.7,42.5,705,-1,-4.8,2.9,227,6085,41.1,39.7,42.5,705,-1,-4.8,2.9,2,2519
365,365,365,12093,93.3,81.7,106.1,48,4.7,-6.5,17.3,365,12093,93.3,81.7,106.1,48,4.7,-6.5,17.3,365,12093,93.3,81.7,106.1,48,4.7,-6.5,17.3,365,12093,93.3,81.7,106.1,48,4.7,-6.5,17.3,365,12093,93.3,81.7,106.1,48,4.7,-6.5,17.3,365,12093,93.3,81.7,106.1,48,4.7,-6.5,17.3,365,12093,93.3,81.7,106.1,48,4.7,-6.5,17.3,2,2120
3073,3073,3073,55055,56.2,49.5,63.6,52,2,-6.6,11.4,3073,55055,56.2,49.5,63.6,52,2,-6.6,11.4,3073,55055,56.2,49.5,63.6,52,2,-6.6,11.4,3073,55055,56.2,49.5,63.6,52,2,-6.6,11.4,3073,55055,56.2,49.5,63.6,52,2,-6.6,11.4,3073,55055,56.2,49.5,63.6,52,2,-6.6,11.4,3073,55055,56.2,49.5,63.6,52,2,-6.6,11.4,2,1420
276,276,276,8065,* ,*, *,3 or fewer,*,*,*,276,8065,* ,*, *,3 or fewer,*,*,*,276,8065,* ,*, *,3 or fewer,*,*,*,276,8065,* ,*, *,3 or fewer,*,*,*,276,8065,* ,*, *,3 or fewer,*,*,*,276,8065,* ,*, *,3 or fewer,*,*,*,276,8065,* ,*, *,3 or fewer,*,*,*,3,1557
2092,2092,2092,39101,82.9,74.1,92.5,67,-8.7,-16.5,-0.1,2092,39101,82.9,74.1,92.5,67,-8.7,-16.5,-0.1,2092,39101,82.9,74.1,92.5,67,-8.7,-16.5,-0.1,2092,39101,82.9,74.1,92.5,67,-8.7,-16.5,-0.1,2092,39101,82.9,74.1,92.5,67,-8.7,-16.5,-0.1,2092,39101,82.9,74.1,92.5,67,-8.7,-16.5,-0.1,2092,39101,82.9,74.1,92.5,67,-8.7,-16.5,-0.1,1,1797
1406,1406,1406,28013,88.1,70.1,109.5,17,-11.5,-23.8,2.6,1406,28013,88.1,70.1,109.5,17,-11.5,-23.8,2.6,1406,28013,88.1,70.1,109.5,17,-11.5,-23.8,2.6,1406,28013,88.1,70.1,109.5,17,-11.5,-23.8,2.6,1406,28013,88.1,70.1,109.5,17,-11.5,-23.8,2.6,1406,28013,88.1,70.1,109.5,17,-11.5,-23.8,2.6,1406,28013,88.1,70.1,109.5,17,-11.5,-23.8,2.6,2,354
1149,1149,1149,22075,70.4,55.9,87.6,17,6.6,-29.2,60.4,1149,22075,70.4,55.9,87.6,17,6.6,-29.2,60.4,1149,22075,70.4,55.9,87.6,17,6.6,-29.2,60.4,1149,22075,70.4,55.9,87.6,17,6.6,-29.2,60.4,1149,22075,70.4,55.9,87.6,17,6.6,-29.2,60.4,1149,22075,70.4,55.9,87.6,17,6.6,-29.2,60.4,1149,22075,70.4,55.9,87.6,17,6.6,-29.2,60.4,2,2278
1545,1545,1545,29127,87.9,74.7,102.8,33,-4.3,-11.1,3,1545,29127,87.9,74.7,102.8,33,-4.3,-11.1,3,1545,29127,87.9,74.7,102.8,33,-4.3,-11.1,3,1545,29127,87.9,74.7,102.8,33,-4.3,-11.1,3,1545,29127,87.9,74.7,102.8,33,-4.3,-11.1,3,1545,29127,87.9,74.7,102.8,33,-4.3,-11.1,3,1545,29127,87.9,74.7,102.8,33,-4.3,-11.1,3,2,1796
1840,1840,1840,36027,64.7,61,68.7,226,-3.5,-7.1,0.2,1840,36027,64.7,61,68.7,226,-3.5,-7.1,0.2,1840,36027,64.7,61,68.7,226,-3.5,-7.1,0.2,1840,36027,64.7,61,68.7,226,-3.5,-7.1,0.2,1840,36027,64.7,61,68.7,226,-3.5,-7.1,0.2,1840,36027,64.7,61,68.7,226,-3.5,-7.1,0.2,1840,36027,64.7,61,68.7,226,-3.5,-7.1,0.2,2,830
407,407,407,13045,83.9,76.1,92.3,88,-0.4,-5.9,5.4,407,13045,83.9,76.1,92.3,88,-0.4,-5.9,5.4,407,13045,83.9,76.1,92.3,88,-0.4,-5.9,5.4,407,13045,83.9,76.1,92.3,88,-0.4,-5.9,5.4,407,13045,83.9,76.1,92.3,88,-0.4,-5.9,5.4,407,13045,83.9,76.1,92.3,88,-0.4,-5.9,5.4,407,13045,83.9,76.1,92.3,88,-0.4,-5.9,5.4,2,394
2408,2408,2408,46097,88.3,51.1,148.6,4,28.4,-19.6,105.1,2408,46097,88.3,51.1,148.6,4,28.4,-19.6,105.1,2408,46097,88.3,51.1,148.6,4,28.4,-19.6,105.1,2408,46097,88.3,51.1,148.6,4,28.4,-19.6,105.1,2408,46097,88.3,51.1,148.6,4,28.4,-19.6,105.1,2408,46097,88.3,51.1,148.6,4,28.4,-19.6,105.1,2408,46097,88.3,51.1,148.6,4,28.4,-19.6,105.1,2,1925
1037,1037,1037,21091,81.9,59,111.2,9,9.6,-2.6,23.3,1037,21091,81.9,59,111.2,9,9.6,-2.6,23.3,1037,21091,81.9,59,111.2,9,9.6,-2.6,23.3,1037,21091,81.9,59,111.2,9,9.6,-2.6,23.3,1037,21091,81.9,59,111.2,9,9.6,-2.6,23.3,1037,21091,81.9,59,111.2,9,9.6,-2.6,23.3,1037,21091,81.9,59,111.2,9,9.6,-2.6,23.3,2,1177
3065,3065,3065,55039,60.7,54.7,67.3,76,1.6,-5.4,9.2,3065,55039,60.7,54.7,67.3,76,1.6,-5.4,9.2,3065,55039,60.7,54.7,67.3,76,1.6,-5.4,9.2,3065,55039,60.7,54.7,67.3,76,1.6,-5.4,9.2,3065,55039,60.7,54.7,67.3,76,1.6,-5.4,9.2,3065,55039,60.7,54.7,67.3,76,1.6,-5.4,9.2,3065,55039,60.7,54.7,67.3,76,1.6,-5.4,9.2,2,942
2350,2350,2350,45071,58.5,49.2,69.2,29,-5,-29.6,28.3,2350,45071,58.5,49.2,69.2,29,-5,-29.6,28.3,2350,45071,58.5,49.2,69.2,29,-5,-29.6,28.3,2350,45071,58.5,49.2,69.2,29,-5,-29.6,28.3,2350,45071,58.5,49.2,69.2,29,-5,-29.6,28.3,2350,45071,58.5,49.2,69.2,29,-5,-29.6,28.3,2350,45071,58.5,49.2,69.2,29,-5,-29.6,28.3,2,2063
1399,1399,1399,27173,_ ,_, _,_,_,_,_,1399,27173,_ ,_, _,_,_,_,_,1399,27173,_ ,_, _,_,_,_,_,1399,27173,_ ,_, _,_,_,_,_,1399,27173,_ ,_, _,_,_,_,_,1399,27173,_ ,_, _,_,_,_,_,1399,27173,_ ,_, _,_,_,_,_,5,3124
2522,2522,2522,48001,78.1,68.6,88.7,49,9,-0.3,19.2,2522,48001,78.1,68.6,88.7,49,9,-0.3,19.2,2522,48001,78.1,68.6,88.7,49,9,-0.3,19.2,2522,48001,78.1,68.6,88.7,49,9,-0.3,19.2,2522,48001,78.1,68.6,88.7,49,9,-0.3,19.2,2522,48001,78.1,68.6,88.7,49,9,-0.3,19.2,2522,48001,78.1,68.6,88.7,49,9,-0.3,19.2,2,63
2163,2163,2163,40067,79,54.6,111.7,7,0,-37.2,59.4,2163,40067,79,54.6,111.7,7,0,-37.2,59.4,2163,40067,79,54.6,111.7,7,0,-37.2,59.4,2163,40067,79,54.6,111.7,7,0,-37.2,59.4,2163,40067,79,54.6,111.7,7,0,-37.2,59.4,2163,40067,79,54.6,111.7,7,0,-37.2,59.4,2163,40067,79,54.6,111.7,7,0,-37.2,59.4,2,1413
7,7,7,1013,58.3,46.4,72.7,17,2,-10.7,16.6,7,1013,58.3,46.4,72.7,17,2,-10.7,16.6,7,1013,58.3,46.4,72.7,17,2,-10.7,16.6,7,1013,58.3,46.4,72.7,17,2,-10.7,16.6,7,1013,58.3,46.4,72.7,17,2,-10.7,16.6,7,1013,58.3,46.4,72.7,17,2,-10.7,16.6,7,1013,58.3,46.4,72.7,17,2,-10.7,16.6,2,322
810,810,810,19045,64.1,55.7,73.6,42,-0.8,-1.9,0.3,810,19045,64.1,55.7,73.6,42,-0.8,-1.9,0.3,810,19045,64.1,55.7,73.6,42,-0.8,-1.9,0.3,810,19045,64.1,55.7,73.6,42,-0.8,-1.9,0.3,810,19045,64.1,55.7,73.6,42,-0.8,-1.9,0.3,810,19045,64.1,55.7,73.6,42,-0.8,-1.9,0.3,810,19045,64.1,55.7,73.6,42,-0.8,-1.9,0.3,2,571
1345,1345,1345,27065,_ ,_, _,_,_,_,_,1345,27065,_ ,_, _,_,_,_,_,1345,27065,_ ,_, _,_,_,_,_,1345,27065,_ ,_, _,_,_,_,_,1345,27065,_ ,_, _,_,_,_,_,1345,27065,_ ,_, _,_,_,_,_,1345,27065,_ ,_, _,_,_,_,_,5,1463
1467,1467,1467,28135,81.1,62.3,103.8,13,10.2,-14.9,42.7,1467,28135,81.1,62.3,103.8,13,10.2,-14.9,42.7,1467,28135,81.1,62.3,103.8,13,10.2,-14.9,42.7,1467,28135,81.1,62.3,103.8,13,10.2,-14.9,42.7,1467,28135,81.1,62.3,103.8,13,10.2,-14.9,42.7,1467,28135,81.1,62.3,103.8,13,10.2,-14.9,42.7,1467,28135,81.1,62.3,103.8,13,10.2,-14.9,42.7,2,2750
415,415,415,13061,64.1,36.9,108.7,3,*,*,*,415,13061,64.1,36.9,108.7,3,*,*,*,415,13061,64.1,36.9,108.7,3,*,*,*,415,13061,64.1,36.9,108.7,3,*,*,*,415,13061,64.1,36.9,108.7,3,*,*,*,415,13061,64.1,36.9,108.7,3,*,*,*,415,13061,64.1,36.9,108.7,3,*,*,*,3,541
1094,1094,1094,21205,92.4,75.5,111.9,22,-10.8,-24.3,5.1,1094,21205,92.4,75.5,111.9,22,-10.8,-24.3,5.1,1094,21205,92.4,75.5,111.9,22,-10.8,-24.3,5.1,1094,21205,92.4,75.5,111.9,22,-10.8,-24.3,5.1,1094,21205,92.4,75.5,111.9,22,-10.8,-24.3,5.1,1094,21205,92.4,75.5,111.9,22,-10.8,-24.3,5.1,1094,21205,92.4,75.5,111.9,22,-10.8,-24.3,5.1,2,2463
838,838,838,19101,49.5,36.9,65.6,11,0.3,-1.3,2,838,19101,49.5,36.9,65.6,11,0.3,-1.3,2,838,19101,49.5,36.9,65.6,11,0.3,-1.3,2,838,19101,49.5,36.9,65.6,11,0.3,-1.3,2,838,19101,49.5,36.9,65.6,11,0.3,-1.3,2,838,19101,49.5,36.9,65.6,11,0.3,-1.3,2,838,19101,49.5,36.9,65.6,11,0.3,-1.3,2,2,1404
765,765,765,18139,80.8,65,99.7,18,-7.2,-17.8,4.8,765,18139,80.8,65,99.7,18,-7.2,-17.8,4.8,765,18139,80.8,65,99.7,18,-7.2,-17.8,4.8,765,18139,80.8,65,99.7,18,-7.2,-17.8,4.8,765,18139,80.8,65,99.7,18,-7.2,-17.8,4.8,765,18139,80.8,65,99.7,18,-7.2,-17.8,4.8,765,18139,80.8,65,99.7,18,-7.2,-17.8,4.8,2,2466
2992,2992,2992,54003,83.7,75.9,91.9,92,-2.8,-9.9,4.9,2992,54003,83.7,75.9,91.9,92,-2.8,-9.9,4.9,2992,54003,83.7,75.9,91.9,92,-2.8,-9.9,4.9,2992,54003,83.7,75.9,91.9,92,-2.8,-9.9,4.9,2992,54003,83.7,75.9,91.9,92,-2.8,-9.9,4.9,2992,54003,83.7,75.9,91.9,92,-2.8,-9.9,4.9,2992,54003,83.7,75.9,91.9,92,-2.8,-9.9,4.9,2,192
199,199,199,6029,55.7,53.2,58.4,371,-3.2,-6.8,0.5,199,6029,55.7,53.2,58.4,371,-3.2,-6.8,0.5,199,6029,55.7,53.2,58.4,371,-3.2,-6.8,0.5,199,6029,55.7,53.2,58.4,371,-3.2,-6.8,0.5,199,6029,55.7,53.2,58.4,371,-3.2,-6.8,0.5,199,6029,55.7,53.2,58.4,371,-3.2,-6.8,0.5,199,6029,55.7,53.2,58.4,371,-3.2,-6.8,0.5,2,1490
1114,1114,1114,22005,68.6,60.9,77,63,-8.1,-16.9,1.7,1114,22005,68.6,60.9,77,63,-8.1,-16.9,1.7,1114,22005,68.6,60.9,77,63,-8.1,-16.9,1.7,1114,22005,68.6,60.9,77,63,-8.1,-16.9,1.7,1114,22005,68.6,60.9,77,63,-8.1,-16.9,1.7,1114,22005,68.6,60.9,77,63,-8.1,-16.9,1.7,1114,22005,68.6,60.9,77,63,-8.1,-16.9,1.7,2,88
283,283,283,8079,* ,*, *,3 or fewer,*,*,*,283,8079,* ,*, *,3 or fewer,*,*,*,283,8079,* ,*, *,3 or fewer,*,*,*,283,8079,* ,*, *,3 or fewer,*,*,*,283,8079,* ,*, *,3 or fewer,*,*,*,283,8079,* ,*, *,3 or fewer,*,*,*,283,8079,* ,*, *,3 or fewer,*,*,*,3,1926
231,231,231,6093,60.5,52.5,69.6,44,-5.7,-14.3,3.8,231,6093,60.5,52.5,69.6,44,-5.7,-14.3,3.8,231,6093,60.5,52.5,69.6,44,-5.7,-14.3,3.8,231,6093,60.5,52.5,69.6,44,-5.7,-14.3,3.8,231,6093,60.5,52.5,69.6,44,-5.7,-14.3,3.8,231,6093,60.5,52.5,69.6,44,-5.7,-14.3,3.8,231,6093,60.5,52.5,69.6,44,-5.7,-14.3,3.8,2,2613
2420,2420,2420,46121,* ,*, *,3 or fewer,*,*,*,2420,46121,* ,*, *,3 or fewer,*,*,*,2420,46121,* ,*, *,3 or fewer,*,*,*,2420,46121,* ,*, *,3 or fewer,*,*,*,2420,46121,* ,*, *,3 or fewer,*,*,*,2420,46121,* ,*, *,3 or fewer,*,*,*,2420,46121,* ,*, *,3 or fewer,*,*,*,3,2801
1078,1078,1078,21173,94.8,79.6,112.1,29,0.2,-12.2,14.4,1078,21173,94.8,79.6,112.1,29,0.2,-12.2,14.4,1078,21173,94.8,79.6,112.1,29,0.2,-12.2,14.4,1078,21173,94.8,79.6,112.1,29,0.2,-12.2,14.4,1078,21173,94.8,79.6,112.1,29,0.2,-12.2,14.4,1078,21173,94.8,79.6,112.1,29,0.2,-12.2,14.4,1078,21173,94.8,79.6,112.1,29,0.2,-12.2,14.4,2,1979
96,96,96,4003,46.9,42.5,51.8,84,0.9,-4.7,6.8,96,4003,46.9,42.5,51.8,84,0.9,-4.7,6.8,96,4003,46.9,42.5,51.8,84,0.9,-4.7,6.8,96,4003,46.9,42.5,51.8,84,0.9,-4.7,6.8,96,4003,46.9,42.5,51.8,84,0.9,-4.7,6.8,96,4003,46.9,42.5,51.8,84,0.9,-4.7,6.8,96,4003,46.9,42.5,51.8,84,0.9,-4.7,6.8,2,582
2810,2810,2810,50011,79.6,68.8,91.6,41,-0.8,-6.4,5.1,2810,50011,79.6,68.8,91.6,41,-0.8,-6.4,5.1,2810,50011,79.6,68.8,91.6,41,-0.8,-6.4,5.1,2810,50011,79.6,68.8,91.6,41,-0.8,-6.4,5.1,2810,50011,79.6,68.8,91.6,41,-0.8,-6.4,5.1,2810,50011,79.6,68.8,91.6,41,-0.8,-6.4,5.1,2810,50011,79.6,68.8,91.6,41,-0.8,-6.4,5.1,2,975
2971,2971,2971,53039,47.6,37.2,60.5,15,8.4,-3.9,22.2,2971,53039,47.6,37.2,60.5,15,8.4,-3.9,22.2,2971,53039,47.6,37.2,60.5,15,8.4,-3.9,22.2,2971,53039,47.6,37.2,60.5,15,8.4,-3.9,22.2,2971,53039,47.6,37.2,60.5,15,8.4,-3.9,22.2,2971,53039,47.6,37.2,60.5,15,8.4,-3.9,22.2,2971,53039,47.6,37.2,60.5,15,8.4,-3.9,22.2,2,1520
1770,1770,1770,33015,72.5,68.3,76.8,242,-2.4,-6.7,2,1770,33015,72.5,68.3,76.8,242,-2.4,-6.7,2,1770,33015,72.5,68.3,76.8,242,-2.4,-6.7,2,1770,33015,72.5,68.3,76.8,242,-2.4,-6.7,2,1770,33015,72.5,68.3,76.8,242,-2.4,-6.7,2,1770,33015,72.5,68.3,76.8,242,-2.4,-6.7,2,1770,33015,72.5,68.3,76.8,242,-2.4,-6.7,2,2,2447
990,990,990,20207,_ ,_, _,_,_,_,_,990,20207,_ ,_, _,_,_,_,_,990,20207,_ ,_, _,_,_,_,_,990,20207,_ ,_, _,_,_,_,_,990,20207,_ ,_, _,_,_,_,_,990,20207,_ ,_, _,_,_,_,_,990,20207,_ ,_, _,_,_,_,_,5,3096
